Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      10 |                    5
         3 |                 10.000000 |                      18 |                    8
         4 |                 18.000000 |                      37 |                   19
         5 |                 27.000000 |                      61 |                   34
         6 |                 39.000000 |                      93 |                   54
         7 |                 52.000000 |                     115 |                   63
         8 |                 68.000000 |                     165 |                   97
         9 |                 85.000000 |                     224 |                  139
        10 |                105.000000 |                     251 |                  146
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      23 |                   13
         4 |                 18.000000 |                      35 |                   17
         5 |                 27.000000 |                      62 |                   35
         6 |                 39.000000 |                      81 |                   42
         7 |                 52.000000 |                     106 |                   54
         8 |                 68.000000 |                     123 |                   55
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       5 |                    4
         2 |                  5.000000 |                      15 |                   10
         3 |                 10.000000 |                      23 |                   13
         4 |                 18.000000 |                      35 |                   17
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                       8 |                    3
         3 |                 10.000000 |                      19 |                    9
         4 |                 18.000000 |                      37 |                   19
         5 |                 27.000000 |                      46 |                   19
         6 |                 39.000000 |                      47 |                    8
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      12 |                    7
         3 |                 10.000000 |                      22 |                   12
         4 |                 18.000000 |                      33 |                   15
         5 |                 27.000000 |                      45 |                   18
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
         1 |                  1.000000 |                       4 |                    3
         2 |                  5.000000 |                      11 |                    6
         3 |                 10.000000 |                      24 |                   14
         4 |                 18.000000 |                      46 |                   28
         5 |                 27.000000 |                      49 |                   22
Iteration  | Lower Bound (Hopefully)   | Number Actually Marked  | Difference
         0 |                  0.000000 |                       1 |                    1
